#	X	rho	      u	              P	        rho_initial
  -5.00000    1.00000000    0.00000000    1.00000000    1.00000000  
  -4.96016    1.00000000    0.00000000    1.00000000    1.00000000  
  -4.92032    1.00000000    0.00000000    1.00000000    1.00000000  
  -4.88048    1.00000000    0.00000000    1.00000000    1.00000000  
  -4.84064    1.00000000    0.00000000    1.00000000    1.00000000  
  -4.80080    1.00000000    0.00000000    1.00000000    1.00000000  
  -4.76096    1.00000000    0.00000000    1.00000000    1.00000000  
  -4.72112    1.00000000    0.00000000    1.00000000    1.00000000  
  -4.68127    1.00000000    0.00000000    1.00000000    1.00000000  
  -4.64143    1.00000000    0.00000000    1.00000000    1.00000000  
  -4.60159    1.00000000    0.00000000    1.00000000    1.00000000  
  -4.56175    1.00000000    0.00000000    1.00000000    1.00000000  
  -4.52191    1.00000000    0.00000000    1.00000000    1.00000000  
  -4.48207    1.00000000    0.00000000    1.00000000    1.00000000  
  -4.44223    1.00000000    0.00000000    1.00000000    1.00000000  
  -4.40239    1.00000000    0.00000000    1.00000000    1.00000000  
  -4.36255    1.00000000   -0.00000000    1.00000000    1.00000000  
  -4.32271    1.00000000    0.00000000    1.00000000    1.00000000  
  -4.28287    1.00000000   -0.00000000    1.00000000    1.00000000  
  -4.24303    1.00000000   -0.00000000    1.00000000    1.00000000  
  -4.20319    1.00000000    0.00000000    1.00000000    1.00000000  
  -4.16335    1.00000000    0.00000000    1.00000000    1.00000000  
  -4.12351    1.00000000    0.00000000    1.00000000    1.00000000  
  -4.08367    1.00000000    0.00000000    1.00000000    1.00000000  
  -4.04382    1.00000000   -0.00000000    1.00000000    1.00000000  
  -4.00398    1.00000000   -0.00000000    1.00000000    1.00000000  
  -3.96414    1.00000000    0.00000000    1.00000000    1.00000000  
  -3.92430    1.00000000    0.00000000    1.00000000    1.00000000  
  -3.88446    1.00000000    0.00000000    1.00000000    1.00000000  
  -3.84462    1.00000000   -0.00000000    1.00000000    1.00000000  
  -3.80478    1.00000000   -0.00000000    1.00000000    1.00000000  
  -3.76494    1.00000000    0.00000000    1.00000000    1.00000000  
  -3.72510    1.00000000    0.00000000    1.00000000    1.00000000  
  -3.68526    1.00000000    0.00000000    1.00000000    1.00000000  
  -3.64542    1.00000000   -0.00000000    1.00000000    1.00000000  
  -3.60558    1.00000000   -0.00000000    1.00000000    1.00000000  
  -3.56574    1.00000000    0.00000000    1.00000000    1.00000000  
  -3.52590    1.00000000    0.00000000    1.00000000    1.00000000  
  -3.48606    1.00000000    0.00000000    1.00000000    1.00000000  
  -3.44622    1.00000000   -0.00000000    1.00000000    1.00000000  
  -3.40637    1.00000000   -0.00000000    1.00000000    1.00000000  
  -3.36653    1.00000000   -0.00000000    1.00000000    1.00000000  
  -3.32669    1.00000000    0.00000000    1.00000000    1.00000000  
  -3.28685    1.00000000    0.00000000    1.00000000    1.00000000  
  -3.24701    1.00000000    0.00000000    1.00000000    1.00000000  
  -3.20717    1.00000000   -0.00000000    1.00000000    1.00000000  
  -3.16733    1.00000001   -0.00000001    1.00000001    1.00000000  
  -3.12749    1.00000000    0.00000000    1.00000000    1.00000000  
  -3.08765    0.99999998    0.00000002    0.99999998    1.00000000  
  -3.04781    0.99999997    0.00000003    0.99999996    1.00000000  
  -3.00797    1.00000001   -0.00000001    1.00000001    1.00000000  
  -2.96813    1.00000009   -0.00000011    1.00000013    1.00000000  
  -2.92829    1.00000013   -0.00000016    1.00000019    1.00000000  
  -2.88845    0.99999997    0.00000003    0.99999996    1.00000000  
  -2.84861    0.99999958    0.00000050    0.99999941    1.00000000  
  -2.80876    0.99999934    0.00000078    0.99999908    1.00000000  
  -2.76892    0.99999997    0.00000003    0.99999996    1.00000000  
  -2.72908    1.00000169   -0.00000200    1.00000237    1.00000000  
  -2.68924    1.00000311   -0.00000368    1.00000436    1.00000000  
  -2.64940    1.00000128   -0.00000151    1.00000179    1.00000000  
  -2.60956    0.99999423    0.00000682    0.99999192    1.00000000  
  -2.56972    0.99998524    0.00001746    0.99997934    1.00000000  
  -2.52988    0.99998441    0.00001844    0.99997818    1.00000000  
  -2.49004    1.00000238   -0.00000282    1.00000333    1.00000000  
  -2.45020    1.00003556   -0.00004208    1.00004979    1.00000000  
  -2.41036    1.00005058   -0.00005986    1.00007082    1.00000000  
  -2.37052    0.99997630    0.00002802    0.99996684    1.00000000  
  -2.33068    0.99969720    0.00035823    0.99957619    1.00000000  
  -2.29084    0.99902445    0.00115443    0.99863480    1.00000000  
  -2.25100    0.99760904    0.00283139    0.99665458    1.00000000  
  -2.21116    0.99478969    0.00617798    0.99271301    1.00000000  
  -2.17131    0.98979641    0.01212314    0.98574371    1.00000000  
  -2.13147    0.98238912    0.02098608    0.97543170    1.00000000  
  -2.09163    0.97289778    0.03242090    0.96226397    1.00000000  
  -2.05179    0.96186834    0.04582165    0.94702660    1.00000000  
  -2.01195    0.94981953    0.06060246    0.93046040    1.00000000  
  -1.97211    0.93714788    0.07631021    0.91312818    1.00000000  
  -1.93227    0.92412012    0.09263760    0.89540631    1.00000000  
  -1.89243    0.91090371    0.10939066    0.87752967    1.00000000  
  -1.85259    0.89760240    0.12644883    0.85964265    1.00000000  
  -1.81275    0.88428241    0.14373480    0.84183647    1.00000000  
  -1.77291    0.87098809    0.16119642    0.82417128    1.00000000  
  -1.73307    0.85775044    0.17879674    0.80668824    1.00000000  
  -1.69323    0.84459182    0.19650870    0.78941619    1.00000000  
  -1.65339    0.83152864    0.21431189    0.77237559    1.00000000  
  -1.61355    0.81857322    0.23219060    0.75558097    1.00000000  
  -1.57371    0.80573487    0.25013248    0.73904267    1.00000000  
  -1.53386    0.79302074    0.26812759    0.72276795    1.00000000  
  -1.49402    0.78043638    0.28616777    0.70676178    1.00000000  
  -1.45418    0.76798610    0.30424621    0.69102744    1.00000000  
  -1.41434    0.75567333    0.32235706    0.67556690    1.00000000  
  -1.37450    0.74350076    0.34049525    0.66038113    1.00000000  
  -1.33466    0.73147055    0.35865625    0.64547035    1.00000000  
  -1.29482    0.71958442    0.37683595    0.63083417    1.00000000  
  -1.25498    0.70784375    0.39503056    0.61647174    1.00000000  
  -1.21514    0.69624968    0.41323645    0.60238186    1.00000000  
  -1.17530    0.68480315    0.43145017    0.58856303    1.00000000  
  -1.13546    0.67350494    0.44966830    0.57501358    1.00000000  
  -1.09562    0.66235574    0.46788742    0.56173166    1.00000000  
  -1.05578    0.65135618    0.48610405    0.54871534    1.00000000  
  -1.01594    0.64050683    0.50431458    0.53596264    1.00000000  
  -0.97610    0.62980833    0.52251519    0.52347157    1.00000000  
  -0.93625    0.61926132    0.54070180    0.51124018    1.00000000  
  -0.89641    0.60886657    0.55886995    0.49926664    1.00000000  
  -0.85657    0.59862500    0.57701467    0.48754924    1.00000000  
  -0.81673    0.58853775    0.59513036    0.47608654    1.00000000  
  -0.77689    0.57860631    0.61321055    0.46487740    1.00000000  
  -0.73705    0.56883256    0.63124766    0.45392113    1.00000000  
  -0.69721    0.55921901    0.64923263    0.44321767    1.00000000  
  -0.65737    0.54976897    0.66715438    0.43276776    1.00000000  
  -0.61753    0.54048689    0.68499913    0.42257329    1.00000000  
  -0.57769    0.53137878    0.70274930    0.41263776    1.00000000  
  -0.53785    0.52245293    0.72038199    0.40296692    1.00000000  
  -0.49801    0.51372089    0.73786655    0.39356982    1.00000000  
  -0.45817    0.50519919    0.75516066    0.38446048    1.00000000  
  -0.41833    0.49691215    0.77220380    0.37566076    1.00000000  
  -0.37849    0.48889679    0.78890587    0.36720520    1.00000000  
  -0.33865    0.48121112    0.80512787    0.35914938    1.00000000  
  -0.29880    0.47394666    0.82065230    0.35158230    1.00000000  
  -0.25896    0.46724337    0.83514692    0.34464094    1.00000000  
  -0.21912    0.46129859    0.84814075    0.33851847    1.00000000  
  -0.17928    0.45635195    0.85905521    0.33344804    1.00000000  
